"lat","lon","rssi_1_1","rssi_1_2","rssi_1_3","rssi_2_1","rssi_2_2","rssi_2_3","rssi_3_1","rssi_3_2","rssi_3_3","delay_1","delay_2","delay_3","pontoId"
-8.05471,-34.95609,-90.1742857142857,-98.7371428571429,-88.4,-100.909166666667,-99.975,-96.1,-81.13,-87.058,-90.22,6,5,1,7431
-8.05544,-34.95368,-96.09,-96.38,-95.96,-94.6533333333333,-76.89,-94.6242857142857,-82.1766666666667,-82.542,-93.745,6,4,2,7191
-8.05546,-34.95605,-87.5514285714286,-98.5685714285714,-93.27,-96.1066666666667,-93.725,-91.41,-86.2466666666667,-75.2244,-88.08,6,5,1,7168
-8.0491,-34.95036,-87.45,-86.8442857142857,-81.13,-82.75,-95.0875,-92.7785714285714,-96.52,-97.346,-96.7925,3,3,5,9021
-8.05023,-34.9505,-96.6471428571429,-96.6671428571428,-95.4642857142857,-91.27,-94.4625,-92.52,-93.315,-95.348,-98.7325,3,3,4,8770
-8.05542,-34.95588,-99.5,-98.5685714285714,-93.1,-96.1066666666667,-90.2025,-89.5914285714286,-85.0616666666667,-68.294,-98.43,6,5,1,7203
-8.05694,-34.95481,-93.09,-97.7914285714286,-92.4671428571429,-98.32,-95.66,-93.3342857142857,-87.675,-68.57,-93.3175,7,5,2,6761
-8.04844,-34.94695,-99.4185714285714,-88.7947619047619,-98.16,-84.38,-99.9125,-97.4830357142857,-96.5633333333333,-101.648,-96.56,3,2,6,9249
-8.04724,-34.94757,-97.0085714285714,-85.95,-96.71,-90.95,-93.27,-90.95,-99.9366666666667,-101.756,-94.4075,3,3,6,9485
-8.05258,-34.94596,-91.42,-89.72,-93.3957142857143,-49.97,-80.41,-83.6228571428571,-89.3783333333333,-84.08,-97.255,5,1,6,7897
-8.05569,-34.955,-93.8242857142857,-97.1028571428571,-94.5528571428571,-95.85,-92.6075,-91.4114285714286,-79.755,-74.244,-95.16,6,5,1,6978
-8.04841,-34.95253,-75.13,-87.18,-72.9185714285714,-81.63,-93.58,-87.9557142857143,-88.71,-98.59,-96.7175,2,4,4,9265
-8.05651,-34.94655,-88.7857142857143,-83.9114285714286,-89.8128571428572,-84.29,-71.2075,-65.5714285714286,-84.59,-88.744,-97.255,7,2,5,6796
-8.04901,-34.94702,-98.68,-81.02,-95.3028571428571,-84.52,-96.4925,-95.5985714285714,-93.2933333333333,-96.518,-96.3575,4,2,6,9040
-8.05295,-34.9465,-91.4557142857143,-90.0457142857143,-87.7742857142857,-56.79,-78.995,-82.3185714285714,-90.685,-87.874,-97.255,5,1,5,7808
-8.04852,-34.94697,-99.3471428571429,-87.5519047619048,-98.91,-79.75,-98.645,-95.7244642857143,-96.5633333333333,-101.01,-96.56,3,2,6,9198
-8.05172,-34.95522,-83.2485714285714,-99.0385714285714,-80.76,-90.14,-92.5975,-90.8042857142857,-70.6783333333333,-89.81,-94.6225,4,5,2,8311
-8.05518,-34.95339,-86.5385714285714,-96.52,-89.7,-95.9916666666667,-89.89,-96.34,-82.2516666666667,-78.632,-92.53,6,4,2,7336
-8.04855,-34.95078,-81.4771428571429,-89.77,-86.682,-78.3925,-90.8225,-89.3833333333333,-92.46,-98.012,-96.7925,2,4,5,9180
-8.05224,-34.94753,-88.98,-84.29,-90.4671428571429,-51.48,-73.92,-70.23,-89.255,-94.332,-97.6,5,1,5,7980
-8.0566,-34.95514,-95.2757142857143,-99.0514285714286,-92.62,-98.32,-91.8025,-90.8414285714286,-83.9966666666667,-68.106,-90.3025,6,5,1,6785
-8.04998,-34.95472,-81.9994285714286,-98.2553571428572,-87.9,-101.535,-97.59125,-94.09,-80.6172222222222,-99.9346666666667,-96.36,3,5,3,8819
-8.05541,-34.95604,-88.78,-98.5685714285714,-91.4285714285714,-98.81,-93.725,-91.41,-85.0616666666667,-75.2244,-94.86,6,5,1,7207
-8.05091,-34.95319,-90.0492857142857,-95.13,-89.1885714285714,-82.57,-97.47,-91.8085714285714,-91.3716666666667,-93.13,-97.62,4,4,3,8589
-8.05018,-34.95372,-82.4757142857143,-97.22,-85.0771428571428,-96.97,-98.5125,-96.9014285714286,-86.7141666666667,-97.054,-99.62,3,4,3,8776
-8.04882,-34.95039,-87.8542857142857,-87.64,-85.1814285714286,-88.95,-90.2675,-83.57,-92.815,-97.496,-96.7925,3,3,5,9081
-8.05216,-34.94812,-85.6971428571429,-85.03,-87.8857142857143,-57.22,-75.21,-77.78,-90.1916666666667,-90.792,-97.6,5,2,5,8038
